Title,Directors,Year
Black Mirror: Bandersnatch,David Slade,2018
Soltera Codiciada,Bruno Ascenzo,2018
The DUFF,Ari Sandel,2015
Chilling Adventures of Sabrina: A Midwinter's Tale,Jeff Woolnough,2018
Os Três Cangaceiros,Victor Lima,1959
The Princess Switch,Michael Rohl,2018
Teresa,Alfredo B. Crevenna,1961
Kong Bu Fen Zi,Edward Yang (I),1986
Split,M. Night Shyamalan,2017
"Love, Simon",Greg Berlanti,2018
La Pointe Courte,Agnès Varda,1955
Faa yeung nin wa,Kar Wai Wong,2000
Maleficent,Robert Stromberg,2014
Drive,Nicolas Winding Refn,2011
The Boy Next Door,Rob Cohen,2015
Arabian Nights,John Rawlins,1942
Ex Machina,Alex Garland,2014
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,2017
Phantom Thread,Paul Thomas Anderson,2017
Logan,James Mangold,2017
Black Panther,Ryan Coogler,2018
Lady Bird,Greta Gerwig,2017
Dunkirk,Christopher Nolan,2017
"I, Tonya",Craig Gillespie,2017
Kill Bill: Vol. 1,Quentin Tarantino,2003
Call Me By Your Name,Luca Guadagnino,2017
Dung Che Sai Duk,Kar Wai Wong,1994
Baby Driver,Edgar Wright,2017
The Shape of Water,Guillermo del Toro,2017
Estate Violenta,Valerio Zurlini,1959
The Cobbler,Tom McCarthy (XXII),2015
The Duchess,Saul Dibb,2008
Duo Luo Tian Shi,Kar Wai Wong,1995
Chong Qing Sen Lin,Kar Wai Wong,1994
Corazón de León,Marcos Carnevale,2013
American Honey,Andrea Arnold,2016
The Picture of Dorian Gray,Albert Lewin,1945
"Hiroshima, Mon Amour",Alain Resnais,1959
Otto e Mezzo,Federico Fellini,1963
2 Coelhos,Afonso Poyart,2012
"Paris, Texas",Wim Wenders,1984
O Cheiro do Ralo,Heitor Dhalia,2006
Punch-Drunk Love,Paul Thomas Anderson,2002
Lolita,Adrian Lyne,1997
The Crush,Alan Shapiro,1993
"Mirror, Mirror",Tarsem Singh,2012
Manchester by the Sea,Kenneth Lonergan,2016
"Carlota Joaquina, Princesa do Brasil",Carla Camurati,1995
Captain Fantastic,Matt Ross (I),2016
Rogue One: A Star Wars Story,Gareth Edwards (II),2016
Casanova,Lasse Hallström,2005
Xica da Silva,Cacá Diegues,1976
Paixão e Guerra no Sertão de Canudos,Antônio Olavo,1993
Hakuchi,Akira Kurosawa,1951
Love & Mercy,Bill Pohlad,2014
La Collectionneuse,Eric Rohmer,1967
Cinderela Bahiana,Conrado Sanchez,1998
Dona Flor e Seus Dois Maridos,Bruno Barreto,1976
Le Bonheur,Agnès Varda,1965
L'amour L'aprés Midi,Eric Rohmer,1972
Ma nuit chez Maud,Eric Rohmer,1969
Dumb and Dumber To,Bobby Farrelly,2014
Smultronstället,Ingmar Bergman,1957
Twin Peaks: Fire Walk with Me,David Lynch (I),1992
Easy A,Will Gluck,2010
Wish Upon a Star,Blair Treu,1996
One Flew Over the Cuckoo's Nest,Miloš Forman,1975
Le Charme Discret de La Bourgeoisie,Luis Buñuel,1972
Poison Ivy,Katt Shea,1992
Irrational Man,Woody Allen,2015
Belle de Jour,Luis Buñuel,1967
Heathers,Michael Lehmann,1988
Det Sjunde Inseglet,Ingmar Bergman,1957
All About Steve,Phil Traill,2009
Take the Money and Run,Woody Allen,1969
Cléo de 5 à 7,Agnès Varda,1962
Le Genou de Claire,Eric Rohmer,1970
Star Wars: The Force Awakens,J. J. Abrams,2015
Persona,Ingmar Bergman,1966
Les Triplettes de Belleville,Sylvain Chomet,2003
Presença de Anita,Ruggero Jacobbi,1951
Sommaren Med Monika,Ingmar Bergman,1953
Dangerous Liaisons,Stephen Frears,1988
Lola Rennt,Tom Tykwer,1998
Dogma,Kevin Smith (I),1999
Barry Lyndon,Stanley Kubrick,1975
Jay and Silent Bob Strike Back,Kevin Smith (I),2001
Clerks.,Kevin Smith (I),1994
Clerks II,Kevin Smith (I),2006
Mallrats,Kevin Smith (I),1995
O Bandido da Luz Vermelha,Rogério Sganzerla,1968
Match Point,Woody Allen,2005
Head,Bob Rafelson,1968
Vicky Cristina Barcelona,Woody Allen,2008
Lost in Translation,Sofia Coppola,2003
Chasing Amy,Kevin Smith (I),1997
Deconstructing Harry,Woody Allen,1997
Volver,Pedro Almodóvar,2006
Deep End,Jerzy Skolimowski,1970
A Dama do Lotação,Neville de Almeida,1978
I Call First,Martin Scorsese,1967
Mad Max: Fury Road,George Miller (II),2015
The Purple Rose of Cairo,Woody Allen,1985
Mommy,Xavier Dolan,2014
Pretty Woman,Garry Marshall,1990
City of Angels,Brad Silberling,1998
Miss Congeniality,Donald Petrie,2000
Cheaper by the Dozen,Shawn Levy ,2003
Chicken Run,Nick Park,2000
Fun with Dick and Jane,Dean Parisot,2005
Lisbela e o Prisioneiro,Guel Arraes,2003
Megamind,Tom McGrath,2010
Shrek the Third,Chris Miller (LX),2007
The Princess Diaries,Garry Marshall,2001
Freaky Friday,Mark Waters,2003
O Céu de Suely,Karim Aïnouz,2006
千と千尋の神隠し,Hayao Miyazaki,2001
Manhattan,Woody Allen,1979
The Wolf of Wall Street,Martin Scorsese,2013
The Great Gatsby,Baz Luhrmann,2013
Midnight in Paris,Woody Allen,2011
Blue Jasmine,Woody Allen,2013
Annie Hall,Woody Allen,1977
Medianeras,Gustavo Taretto,2011
Whiplash,Damien Chazelle,2014
"Il Buono, Il Brutto, Il Cattivo",Sergio Leone,1966
L'amour en Fuite,François Truffaut,1979
Gone Girl,David Fincher,2014
Domicile Conjugal,François Truffaut,1970
La chinoise,Jean-Luc Godard,1967
Guardians of the Galaxy,James Gunn (II),2014
Zodiac,David Fincher,2007
Minha Mãe é Uma Peça: O Filme,André Pellenz,2013
Les Amours Imaginaires,Xavier Dolan,2010
Foxy Brown,Jack Hill (I),1974
Boyhood,Richard Linklater,2014
The Normal Heart,Ryan Murphy (I),2014
Intouchables,Eric Toledano,2011
Pink Flamingos,John Waters (I),1972
The Grand Budapest Hotel,Wes Anderson (I),2014
Blue Velvet,David Lynch (I),1986
"Je Vous Salue, Marie",Jean-Luc Godard,1985
L'amour à Vingt Ans,Andrzej Wajda,1962
Ginger & Rosa,Sally Potter,2012
The Dreamers,Bernardo Bertolucci,2003
Les Quatre Cents Coups,François Truffaut,1959
Back to the Future - Part III,Robert Zemeckis,1990
The Beautician And The Beast,Ken Kwapis,1997
Ghost,Jerry Zucker,1990
The Beverly Hillbillies,Penelope Spheeris,1993
E.T. - The Extra-Terrestrial,Steven Spielberg,1982
Submarine,Richard Ayoade,2010
"Gabriela, Cravo e Canela",Bruno Barreto,1983
Baisers Volés,François Truffaut,1968
Nymphomaniac: Volume II,Lars Von Trier,2013
Revolver,Guy Ritchie,2005
Nymphomaniac: Volume I,Lars Von Trier,2013
We Need to Talk About Kevin,Lynne Ramsay,2011
Le Magasin des Suicides,Patrice Leconte,2012
Jules et Jim,François Truffaut,1962
Jackie Brown,Quentin Tarantino,1997
Moonrise Kingdom,Wes Anderson (I),2012
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,1983
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,1980
Star Wars,George Lucas,1977
Brokeback Mountain,Ang Lee (I),2005
Brilliantlove,Ashley Horner,2010
Memento,Christopher Nolan,2000
My Big Fat Greek Wedding,Joel Zwick,2002
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1998
"Alphaville, une Étrange Aventure de Lemmy Caution",Jean-Luc Godard,1965
2046,Kar Wai Wong,2004
The Lake House,Alejandro Agresti,2006
O Homem que Copiava,Jorge Furtado,2003
2012,Roland Emmerich,2009
Jumper,Doug Liman,2008
Léon,Luc Besson,1994
Dead Poets Society,Peter Weir,1989
Seven,David Fincher,1995
The Royal Tenenbaums,Wes Anderson (I),2001
The Kings of Summer,Jordan Vogt-Roberts,2013
Eraserhead,David Lynch (I),1977
Her,Spike Jonze,2013
The Silence of the Lambs,Jonathan Demme,1991
Gone With the Wind,George Cukor,1939
Bill & Ted's Excellent Adventure,Stephen Herek,1989
A Knight's Tale,Brian Helgeland,2001
Bill & Ted's Bogus Journey,Peter Hewitt,1991
Get Over It,Tommy O'Haver,2001
Candy,Neil Armfield,2006
Love in the Time of Cholera,Mike Newell (I),2007
Masculin Féminin,Jean-Luc Godard,1966
Ghost World,Terry Zwigoff,2001
World War Z,Marc Forster,2013
Vivre sa Vie,Jean-Luc Godard,1962
Don Jon,Joseph Gordon-Levitt,2013
RocknRolla,Guy Ritchie,2008
Snatch.,Guy Ritchie,2000
An Adventure in Space and Time,Terry McDonough,2013
Harry Potter and the Goblet of Fire,Mike Newell (I),2005
Vertigo,Alfred Hitchcock,1958
The Girl with the Dragon Tattoo,David Fincher,2011
Män Som Hatar Kvinnor,Niels Arden Oplev,2009
Space Jam,Joe Pytka,1996
Junior,Ivan Reitman,1994
P.S. I Love You,Richard LaGravenese,2007
The Little Rascals,Penelope Spheeris,1994
The Proposal,Anne Fletcher,2009
Antz,Eric Darnell,1998
Honey I Blew Up the Kid,Randal Kleiser,1992
"Honey, We Shrunk Ourselves",Dean Cundey,1997
Littleman,Keenen Ivory Wayans,2006
The Count of Monte Cristo,Kevin Reynolds (I),2002
Staying Alive,Sylvester Stallone,1983
The Wizard of Oz,George Cukor,1939
Hancock,Peter Berg (I),2008
Flyboys,Tony Bill (I) ,2006
Daredevil,Mark Steven Johnson,2003
2001: A Space Odyssey,Stanley Kubrick,1968
Never Been Kissed,Raja Gosnell,1999
The Hot Chick,Tom Brady (I),2002
Big Daddy,Dennis Dugan (I),1999
Diary of a Mad Black Woman,Darren Grant,2005
Psycho,Alfred Hitchcock,1960
Mulholland Dr.,David Lynch (I),2001
O Auto da Compadecida,Guel Arraes,2000
Cruel Intentions,Roger Kumble,1999
How to Lose a Guy in 10 Days,Donald Petrie,2003
The Fifth Element,Luc Besson,1997
À Bout de Souffle,Jean-Luc Godard,1960
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
Christopher and His Kind,Geoffrey Sax,2011
Terminator 2: Judgement Day,James Cameron,1991
The Blue Lagoon,Randal Kleiser,1980
The School of Rock,Richard Linklater,2003
I Now Pronounce You Chuck & Larry,Dennis Dugan (I),2007
Spanglish,James L. Brooks,2004
Mean Girls,Mark Waters,2004
Eloise at the Plaza,Kevin Lima,2003
The Devil Wears Prada,David Frankel,2006
Hitch,Andy Tennant,2005
Nutty Professor II: The Klumps,Peter Segal,2000
It Takes Two,Andy Tennant,1995
Blast from the Past,Hugh Wilson (I),1999
The Sound of Music,Robert Wise (I),1965
The Parent Trap,Nancy Meyers,1998
Madagascar,Eric Darnell,2005
Ice Age,Carlos Saldanha (I),2002
La Délicatesse,David Foenkinos,2011
Trainspotting,Danny Boyle,1996
You Don't Mess with the Zohan,Dennis Dugan (I),2008
Just Married,Shawn Levy ,2003
Legally Blonde,Robert Luketic,2001
Bridget Jones's Diary,Sharon Maguire,2001
Shrek,Andrew Adamson,2001
Christmas with the Kranks,Joe Roth (I),2004
Shall We Dance,Peter Chelsom,2004
Home on the Range,John Sanford (II),2004
Bewitched,Nora Ephron,2005
Hoodwinked!,Cory Edwards (I),2005
Bee Movie,Simon J. Smith,2007
Aquamarine,Elizabeth Allen Rosenbaum,2006
Ice Princess,Tim Fywell,2005
The AristoCats,Wolfgang Reitherman,1970
Killers,Robert Luketic,2010
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,2005
Garfield,Peter Hewitt,2004
"Yours, Mine and Ours",Raja Gosnell,2005
Crossroads,Tamra Davis,2002
If Only,Gil Junger,2004
Sweet Home Alabama,Andy Tennant,2002
X-Men: The Last Stand,Brett Ratner,2006
I Am Legend,Francis Lawrence (II),2007
Saving Private Ryan,Steven Spielberg,1998
The Spy Next Door,Brian Levant,2010
"Corrina, Corrina",Jessie Nelson,1994
Sister Act,Emile Ardolino,1992
Mrs. Doubtfire,Chris Columbus,1993
Patch Adams,Tom Shadyac,1998
Bicentennial Man,Chris Columbus,1999
Une Femme est Une Femme,Jean-Luc Godard,1961
Breakfast at Tiffany's,Blake Edwards,1961
Requiem for a Dream,Darren Aronofsky,2000
The Eddy Duchin Story,George Sidney (II),1956
A Mulher Invisível,Cláudio Torres (I),2009
Good Burger,Brian Robbins (I),1997
Gold Diggers: The Secret of Bear Mountain,Kevin James Dobson,1995
O Homem Que Desafiou o Diabo,Moacyr Góes,
The Kid,Charles Chaplin,1921
10 Things I Hate About You,Gil Junger,1999
Back to the Future - Part II,Robert Zemeckis,1989
Back to the Future,Robert Zemeckis,1985
Bande à Part,Jean-Luc Godard,1964
Along Came Polly,John Hamburg,2004
Dreamgirls,Bill Condon,2006
Detroit Rock City,Adam Rifkin,1999
Twelve Monkeys,Terry Gilliam,1996
"I, Robot",Alex Proyas,2004
White Chicks,Keenen Ivory Wayans,2004
"Elvira, Mistress of the Dark",James Signorelli,1988
Matilda,Danny DeVito,1996
The Boy in the Striped Pyjamas,Mark Herman,2008
The Butterfly Effect,Eric Bress,2004
Jennifer's Body,Karyn Kusama,2009
Constantine,Francis Lawrence (II),2005
Coming to America,John Landis,1988
Modern Times,Charles Chaplin,1936
Drillbit Taylor,Steven Brill,2008
Father of the Bride,Charles Shyer,1991
Lemony Snicket's A Series of Unfortunate Events,Brad Silberling,2004
V for Vendetta,James McTeigue,2005
The Pianist,Roman Polanski,2002
World Trade Center,Oliver Stone,2006
Made of Honor,Paul Weiland,2008
Duplex,Danny DeVito,2003
Shallow Hal,Bobby Farrelly,2001
Bruce Almighty,Tom Shadyac,2003
How the Grinch Stole the Christmas,Ron Howard,2000
BeetleJuice,Tim Burton (I),1988
The Lion King 1½,Bradley Raymond,2004
The Lion King,Rob Minkoff,1994
The Simpsons Movie,David Silverman (I),2007
The Other Boleyn Girl,Justin Chadwick,2008
Clueless,Amy Heckerling,1995
Olga,Jayme Monjardim,2004
Something the Lord Made,Joseph Sargent,2004
Artificial Intelligence: AI,Steven Spielberg,2001
Mission: Impossible 3,J. J. Abrams,2006
The Terminator,James Cameron,1984
Yes Man,Peyton Reed,2008
Sabrina,Billy Wilder,1954
Taking Lives,D. J. Caruso,2004
Being John Malkovich,Spike Jonze,1999
The Breakfast Club,John Hughes (I),1985
Orphan,Jaume Collet-Serra,2009
Braveheart,Mel Gibson,1995
